station_ligne,origin,destination
M3 bis,Porte des Lilas,Saint Fargeau
M3 bis,Saint Fargeau,Porte des Lilas
M3 bis,Saint Fargeau,Pelleport
M3 bis,Pelleport,Saint Fargeau
M3 bis,Pelleport,Gambetta
M3 bis,Gambetta,Pelleport
