station_ligne,origin,destination
M12,Porte de la Chapelle,Front Populaire
M12,Front Populaire,Porte de la Chapelle
M12,Porte de la Chapelle,Marx Dormoy
M12,Marx Dormoy,Porte de la Chapelle
M12,Marx Dormoy,Marcadet Poissonniers
M12,Marcadet Poissonniers,Marx Dormoy
M12,Marcadet Poissonniers,Jules Joffrin
M12,Jules Joffrin,Marcadet Poissonniers
M12,Jules Joffrin,Lamarck Caulaincourt
M12,Lamarck Caulaincourt,Jules Joffrin
M12,Lamarck Caulaincourt,Abbesses
M12,Abbesses,Lamarck Caulaincourt
M12,Abbesses,Pigalle
M12,Pigalle,Abbesses
M12,Pigalle,Saint Georges
M12,Saint Georges,Pigalle
M12,Saint Georges,Notre Dame de Lorette
M12,Notre Dame de Lorette,Saint Georges
M12,Notre Dame de Lorette,Trinite d'Estienne d'Orves
M12,Trinite d'Estienne d'Orves,Notre Dame de Lorette
M12,Trinite d'Estienne d'Orves,Saint Lazare
M12,Saint Lazare,Trinite d'Estienne d'Orves
M12,Saint Lazare,Madeleine
M12,Madeleine,Saint Lazare
M12,Madeleine,Concorde
M12,Concorde,Madeleine
M12,Concorde,Assemblee Nationale
M12,Assemblee Nationale,Concorde
M12,Assemblee Nationale,Solferino
M12,Solferino,Assemblee Nationale
M12,Solferino,Rue du Bac
M12,Rue du Bac,Solferino
M12,Rue du Bac,Sevres Babylone
M12,Sevres Babylone,Rue du Bac
M12,Sevres Babylone,Rennes
M12,Rennes,Sevres Babylone
M12,Rennes,Notre Dame des Champs
M12,Notre Dame des Champs,Rennes
M12,Notre Dame des Champs,Montparnasse Bienvenue
M12,Montparnasse Bienvenue,Notre Dame des Champs
M12,Montparnasse Bienvenue,Falguiere
M12,Falguiere,Montparnasse Bienvenue
M12,Falguiere,Pasteur
M12,Pasteur,Falguiere
M12,Pasteur,Volontaires
M12,Volontaires,Pasteur
M12,Volontaires,Vaugirard
M12,Vaugirard,Volontaires
M12,Vaugirard,Convention
M12,Convention,Vaugirard
M12,Convention,Porte de Versailles
M12,Porte de Versailles,Convention
M12,Porte de Versailles,Corentin Celton
M12,Corentin Celton,Porte de Versailles
M12,Corentin Celton,Mairie d'Issy
M12,Mairie d'Issy,Corentin Celton

