station_ligne,origin,destination
M13,Saint Denis Universite,Basilique de Saint Denis
M13,Basilique de Saint Denis,Saint Denis Universite
M13,Basilique de Saint Denis,Saint Denis Porte de Paris
M13,Saint Denis Porte de Paris,Basilique de Saint Denis
M13,Saint Denis Porte de Paris,Carrefour Pleyel
M13,Carrefour Pleyel,Saint Denis Porte de Paris
M13,Carrefour Pleyel,Mairie de Saint Ouen
M13,Mairie de Saint Ouen,Carrefour Pleyel
M13,Mairie de Saint Ouen,Garibaldi
M13,Garibaldi,Mairie de Saint Ouen
M13,Garibaldi,Porte de Saint Ouen
M13,Porte de Saint Ouen,Garibaldi
M13,Porte de Saint Ouen,Guy Moquet
M13,Guy Moquet,Porte de Saint Ouen
M13,Guy Moquet,La Fourche
M13,La Fourche,Guy Moquet
M13,La Fourche,Brochant
M13,Brochant,La Fourche
M13,La Fourche,Place de Clichy
M13,Place de Clichy,La Fourche
M13,Place de Clichy,Liege
M13,Liege,Place de Clichy
M13,Liege,Saint Lazare
M13,Saint Lazare,Liege
M13,Saint Lazare,Miromesnil
M13,Miromesnil,Saint Lazare
M13,Miromesnil,Champs Elysees Clemenceau
M13,Champs Elysees Clemenceau,Miromesnil
M13,Champs Elysees Clemenceau,Invalides
M13,Invalides,Champs Elysees Clemenceau
M13,Invalides,Varenne
M13,Varenne,Invalides
M13,Varenne,Saint François Xavier
M13,Saint François Xavier,Varenne
M13,Saint François Xavierr,Duroc
M13,Duroc,Saint François Xavier
M13,Duroc,Montparnasse Bienvenue
M13,Montparnasse Bienvenue,Duroc
M13,Montparnasse Bienvenue,Gaite
M13,Gaite,Montparnasse Bienvenue
M13,Gaite,Pernety
M13,Pernety,Gaite
M13,Pernety,Plaisance
M13,Plaisance,Pernety
M13,Plaisance,Porte de Vanves
M13,Porte de Vanves,Plaisance
M13,Porte de Vanves,Malakoff Plateau de Vanves
M13,Malakoff Plateau de Vanves,Porte de Vanves
M13,Malakoff Plateau de Vanves,Malakoff Rue Etienne Dolet
M13,Malakoff Rue Etienne Dolet,Malakoff Plateau de Vanves
M13,Malakoff Rue Etienne Dolet,Chatillon Montrouge
M13,Chatillon Montrouge,Malakoff Rue Etienne Dolet
M13,Les Courtilles,Les Agnettes
M13,Les Agnettes,Les Courtilles
M13,Les Agnettes,Gabriel Peri
M13,Gabriel Peri,Les Agnettes
M13,Gabriel Peri,Mairie de Clichy
M13,Mairie de Clichy,Gabriel Peri
M13,Mairie de Clichy,Porte de Clichy
M13,Porte de Clichy,Mairie de Clichy
M13,Porte de Clichy,Brochant
M13,Brochant,Porte de Clichy
