station_id,name,station_ligne,lat,lon
169,Chatelet,7,48.8570599663,2.34771187993
290,Fort d'Aubervilliers,7,48.9149497564,2.40440908743
412,La Courneuve 8 Mai 1945,7,48.9207859699,2.41059861373
476,Louis Blanc,7,48.8812858119,2.36554431917
842,Sully Morland,7,48.8512376804,2.361985141
896,Villejuif Leo Lagrange,7,48.8046881209,2.3639531966
35,Aubervilliers Pantin,7,48.9037599302,2.39228705964
173,Chaussee d'Antin,7,48.8731092743,2.33345121858
384,Jussieu,7,48.8459506666,2.35505026306
442,Le Kremlin Bicetre,7,48.8101299573,2.36226338713
619,Palais Royal Musee du Louvre,7,48.8628296728,2.3368783976
642,Pierre Curie,7,48.815930763,2.37726720015
654,Place d'Italie,7,48.831433631,2.35564364302
122,Cadet,7,48.8758906819,2.34412603046
127,Censier Daubenton,7,48.8404866526,2.35173948717
209,Corentin Cariou,7,48.8948364684,2.38252234342
315,Gare de l'Est,7,48.8762727035,2.35805790434
443,Le Peletier,7,48.8748743434,2.34019988439
496,Mairie d'Ivry,7,48.8110991977,2.38355147965
497,Maison Blanche,7,48.8224378346,2.35847388385
659,Poissonniere,7,48.8772363191,2.34929390248
673,Pont Marie,7,48.8535754725,2.35716257162
687,Porte de Choisy,7,48.819876221,2.36453195175
161,Chateau Landon,7,48.8785656258,2.36216007192
459,Les Gobelins,7,48.8358634842,2.35258892564
674,Pont Neuf,7,48.8585538264,2.34223275937
692,Porte de la Villette,7,48.8973898907,2.38550838768
810,Stalingrad,7,48.8843851454,2.36939198436
703,Porte d'Italie,7,48.8192233496,2.35970521675
704,Porte d'Ivry,7,48.8213557838,2.36929058735
739,Riquet,7,48.888267617,2.37420401204
855,Tolbiac,7,48.8264260109,2.35724565076
898,Villejuif Paul Vaillant Couturier,7,48.7964830828,2.36826954143
227,Crimee,7,48.8907889695,2.3773157556
655,Place Monge,7,48.8428668307,2.35222472818
607,Opera,7,48.8704867033,2.33240740643
715,Pyramides,7,48.8659809205,2.33433072438
897,Villejuif Louis Aragon,7,48.7875627921,2.36780410698
