station_id,name,station_ligne,lat,lon
247,Duroc,13,48.8470525545,2.31642435206
126,Carrefour Pleyel,13,48.9195730741,2.34330593051
297,Gabriel Peri,13,48.9163823099,2.2946851117
299,Gaite,13,48.8386316462,2.32249174982
648,Place de Clichy,13,48.883804528,2.32724341195
761,Basilique de Saint Denis,13,48.9365268526,2.35939826103
145,Champs Elysees Clemenceau,13,48.8676021452,2.31389412912
416,La Fourche,13,48.8871839469,2.32577967481
491,Mairie de Clichy,13,48.9033300946,2.30592414987
636,Pernety,13,48.8339363927,2.31807828549
696,Porte de Saint Ouen,13,48.8973747955,2.32894281278
700,Porte de Vanves,13,48.8277955435,2.30553466965
873,Varenne,13,48.8568713792,2.31505663732
1007,Les Agnettes,13,48.9231037797,2.28627957753
323,Garibaldi,13,48.9060940502,2.33183083796
342,Guy Moquet,13,48.8928288534,2.3274284585
563,Montparnasse Bienvenue,13,48.8423274377,2.32098483563
362,Invalides,13,48.8623647041,2.31390957779
505,Malakoff Rue Etienne Dolet,13,48.8153075312,2.29707779833
548,Miromesnil,13,48.8737699887,2.31445603619
493,Mairie de Saint Ouen,13,48.9119648979,2.33392489048
763,Saint Denis Universite,13,48.9458456578,2.36454176349
113,Brochant,13,48.8905871866,2.32017475579
171,Chatillon Montrouge,13,48.8107464886,2.30167855546
762,Saint Denis Porte de Paris,13,48.9299358897,2.35603579417
770,Saint Lazare,13,48.8753549577,2.32481828506
504,Malakoff Plateau de Vanves,13,48.8225837068,2.29846419197
467,Liege,13,48.8796347607,2.32702220089
656,Plaisance,13,48.8318256496,2.31412232347
765,Saint François Xavier,13,48.8514417056,2.3144081215
1008,Les Courtilles,13,48.9307570033,2.28417444828
689,Porte de Clichy,13,48.8942522622,2.31377215877
