station_ligne,origin,destination
M3,Pont de Levallois Becon,Anatole France
M3,Anatole France,Pont de Levallois Becon
M3,Anatole France,Louise Michel
M3,Louise Michel,Anatole France
M3,Louise Michel,Porte de Champerret
M3,Porte de Champerret,Louise Michel
M3,Porte de Champerret,Pereire Levallois
M3,Pereire Levallois,Porte de Champerret
M3,Pereire Levallois,Wagram
M3,Wagram,Pereire Levallois
M3,Wagram,Malesherbes
M3,Malesherbes,Wagram
M3,Malesherbes,Villiers
M3,Villiers,Malesherbes
M3,Villiers,Europe
M3,Europe,Villiers
M3,Europe,Saint Lazare
M3,Saint Lazare,Europe
M3,Saint Lazare,Havre Caumartin
M3,Havre Caumartin,Saint Lazare
M3,Havre Caumartin,Opera
M3,Opera,Havre Caumartin
M3,Opera,Quatre Septembre
M3,Quatre Septembre,Opera
M3,Quatre Septembre,Bourse
M3,Bourse,Quatre Septembre
M3,Bourse,Sentier
M3,Sentier,Bourse
M3,Sentier,Reaumur Sebastopol
M3,Reaumur Sebastopol,Sentier
M3,Reaumur Sebastopol,Arts et Metiers
M3,Arts et Metiers,Reaumur Sebastopol
M3,Arts et Metiers,Temple
M3,Temple,Arts et Metiers
M3,Temple,Republique
M3,Republique,Temple
M3,Republique,Parmentier
M3,Parmentier,Republique
M3,Parmentier,Saint Maur
M3,Saint Maur,Parmentier
M3,Saint Maur,Pere Lachaise
M3,Pere Lachaise,Saint Maur
M3,Pere Lachaise,Gambetta
M3,Gambetta,Pere Lachaise
M3,Gambetta,Porte de Bagnolet
M3,Porte de Bagnolet,Gambetta
M3,Porte de Bagnolet,Gallieni
M3,Gallieni,Porte de Bagnolet
