M12;Marcadet Poissonniers;Marx Dormoy;0.0
M12;Marcadet Poissonniers;Jules Joffrin;0.0
M12;Jules Joffrin;Marcadet Poissonniers;0.0
M12;Jules Joffrin;Lamarck Caulaincourt;0.0
M12;Lamarck Caulaincourt;Jules Joffrin;0.0
M12;Lamarck Caulaincourt;Abbesses;0.0
M12;Abbesses;Lamarck Caulaincourt;0.0
M12;Abbesses;Pigalle;0.0
M12;Pigalle;Abbesses;0.0
M12;Pigalle;Saint Georges;0.0
M12;Saint Georges;Pigalle;0.0
M12;Saint Georges;Notre Dame de Lorette;0.0
M12;Notre Dame de Lorette;Saint Georges;0.0
M12;Notre Dame de Lorette;Trinite d4estienne d'Orves;0.0
M12;Trinite d4estienne d'Orves;Notre Dame de Lorette;0.0
M12;Trinite d4estienne d'Orves;Saint Lazare;0.0
M12;Saint Lazare;Trinite d4estienne d'Orves;0.0
M12;Saint Lazare;Madeleine;0.0
M12;Madeleine;Saint Lazare;0.0
M12;Madeleine;Concorde;0.0
M12;Concorde;Madeleine;0.0
M12;Concorde;Assemblee Nationale;0.0
M12;Assemblee Nationale;Concorde;0.0
M12;Assemblee Nationale;Solferino;0.0
M12;Solferino;Assemblee Nationale;0.0
M12;Solferino;Rue du Bac;0.0
M12;Rue du Bac;Solferino;0.0
M12;Rue du Bac;Sevres Babylone;0.0
M12;Sevres Babylone;Rue du Bac;0.0
M12;Sevres Babylone;Rennes;0.0
M12;Rennes;Sevres Babylone;0.0
M12;Rennes;Notre Dame des Champs;0.0
M12;Notre Dame des Champs;Rennes;0.0
M12;Notre Dame des Champs;Montparnasse Bienvenue;0.0
M12;Montparnasse Bienvenue;Notre Dame des Champs;0.0
M12;Montparnasse Bienvenue;Falguiere;0.0
M12;Falguiere;Montparnasse Bienvenue;0.0
M12;Falguiere;Pasteur;0.0
M12;Pasteur;Falguiere;0.0
M12;Pasteur;Volontaires;0.0
M12;Volontaires;Pasteur;0.0
M12;Volontaires;Vaugirard;0.0
M12;Vaugirard;Volontaires;0.0
M12;Vaugirard;Convention;0.0
M12;Convention;Vaugirard;0.0
M12;Convention;Porte de Versailles;0.0
M12;Porte de Versailles;Convention;0.0
M12;Porte de Versailles;Corentin Celton;0.0
M12;Corentin Celton;Porte de Versailles;0.0
M12;Corentin Celton;Mairie d'Issy;0.0
M12;Mairie d'Issy;Corentin Celton;0.0
M13;Saint Denis Universite;Basilique St Denis;0.0
M13;Basilique St Denis;Saint Denis Universite;0.0
M13;Basilique St Denis;Saint Denis Porte de Paris;0.0
M13;Saint Denis Porte de Paris;Basilique St Denis;0.0
M13;Saint Denis Porte de Paris;Carrefour Pleyel;0.0
M13;Carrefour Pleyel;Saint Denis Porte de Paris;0.0
M13;Carrefour Pleyel;Mairie de St Ouen;0.0
M13;Mairie de St Ouen;Carrefour Pleyel;0.0
M13;Mairie de St Ouen;Garibaldi;0.0
M13;Garibaldi;Mairie de St Ouen;0.0
M13;Garibaldi;Porte de St Ouen;0.0
M13;Porte de St Ouen;Garibaldi;0.0
M13;Porte de St Ouen;Guy Moquet;0.0
M13;Guy Moquet;Porte de St Ouen;0.0
M13;Guy Moquet;La Fourche;0.0
M13;La Fourche;Guy Moquet;0.0
M13;La Fourche;Brochant;0.0
M13;Brochant;La Fourche;0.0
M13;La Fourche;Place de Clichy;0.0
M13;Place de Clichy;La Fourche;0.0
M13;Place de Clichy;Liege;0.0
M13;Liege;Place de Clichy;0.0
M13;Liege;Saint Lazare;0.0
M13;Saint Lazare;Liege;0.0
M13;Saint Lazare;Miromesnil;0.0
M13;Miromesnil;Saint Lazare;0.0
M13;Miromesnil;Champs Elysees Clemenceau;0.0
M13;Champs Elysees Clemenceau;Miromesnil;0.0
M13;Champs Elysees Clemenceau;Invalides;0.0
M13;Invalides;Champs Elysees Clemenceau;0.0
M13;Invalides;Varenne;0.0
M13;Varenne;Invalides;0.0
M13;Varenne;St Francois Xavier;0.0
M13;St Francois Xavier;Varenne;0.0
M13;St Francois Xavier;Duroc;0.0
M13;Duroc;St Francois Xavier;0.0
M13;Duroc;Montparnasse Bienvenue;0.0
M13;Montparnasse Bienvenue;Duroc;0.0
M13;Montparnasse Bienvenue;Gaite;0.0
M13;Gaite;Montparnasse Bienvenue;0.0
M13;Gaite;Permety;0.0
M13;Permety;Gaite;0.0
M13;Permety;Plaisance;0.0
M13;Plaisance;Permety;0.0
M13;Plaisance;Porte de Vanves;0.0
M13;Porte de Vanves;Plaisance;0.0
M13;Porte de Vanves;Malakoff Plateau de Vanves;0.0
M13;Malakoff Plateau de Vanves;Porte de Vanves;0.0
M13;Malakoff Plateau de Vanves;Malakoff Rue Etienne Dolet;0.0
M13;Malakoff Rue Etienne Dolet;Malakoff Plateau de Vanves;0.0
M13;Malakoff Rue Etienne Dolet;Chatillon Montrouge;0.0
M13;Chatillon Montrouge;Malakoff Rue Etienne Dolet;0.0
M13;Asnieres Gennevilliers Les Courtilles;Les Agnettes;0.0
M13;Les Agnettes;Asnieres Gennevilliers Les Courtilles;0.0
