station_id,name,station_ligne,lat,lon
311,Gare d'Austerlitz,10,48.842436797,2.365184812
377,Javel Andre Citroen,10,48.8461236669,2.27771173983
544,Michel Ange Molitor,10,48.8452475655,2.2616234924
547,Mirabeau,10,48.8471310082,2.27276375332
43,Avenue Emile Zola,10,48.8470195819,2.29542047803
125,Cardinal Lemoine,10,48.8466568513,2.35162325638
525,Maubert Mutualite,10,48.8501273238,2.34805429048
542,Michel Ange Auteuil,10,48.8479348079,2.26421877705
383,Jussieu,10,48.8461511231,2.3549179837
791,Segur,10,48.8470661332,2.30740224062
99,Boulogne Jean Jaures,10,48.8420053473,2.23888732579
251,Eglise d'Auteuil,10,48.8471500557,2.26913587273
604,Odeon,10,48.8521672611,2.33964633593
683,Porte d'Auteuil,10,48.8479715406,2.25774468038
100,Boulogne Pont de Saint Cloud,10,48.8407450152,2.2285369815
246,Duroc,10,48.8469891061,2.31700523574
149,Chardon Lagache,10,48.8452047036,2.26644154308
155,Charles Michels,10,48.8465346367,2.28599922342
192,Cluny la Sorbonne,10,48.8510502823,2.34427334542
420,La Motte Picquet Grenelle,10,48.8493505536,2.29830140173
486,Mabillon,10,48.8530167679,2.33550205309
798,Sevres Babylone,10,48.8511923493,2.32648847397
871,Vaneau,10,48.8488163725,2.32125786291
